Time FPS-M FVS-M FVT-M FDS-M SHD-M SB-M PIN-M WHB-M WHT-M BFS-M BFF-M BG-M BML-M BMS-M ZL-M BD-M MA-M SG-M BC-M ZG-M PL-M PS-M ZM-M ZS-M PB-M BB-M BO-M DL-M DR-M DC-M FPS-F FVS-F FVT-F FDS-F SHD-F SB-F PIN-F WHB-F WHT-F BFS-F BFF-F BG-F BML-F BMS-F ZL-F BD-F MA-F SG-F BC-F ZG-F PL-F PS-F ZM-F ZS-F PB-F BB-F BO-F DL-F DR-F DC-F
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.650000e+02 1.464743e-02 2.868080e-05 1.819999e-05 2.591537e-01 0.000000e+00 4.776547e-08 1.500221e-06 0.000000e+00 0.000000e+00 2.609791e-12 2.645838e-12 2.307987e-11 9.897039e-13 2.764184e-12 1.533175e-13 4.532199e-12 1.208334e-13 3.195806e-13 3.171173e-13 3.930520e-15 1.539323e-13 1.036675e-13 4.942614e-14 3.107209e-14 4.500578e-13 7.892117e-14 2.257629e-14 1.102913e-14 3.014199e-15 7.493415e-17 1.136390e-02 6.064043e-01 1.604721e-01 4.071119e-02 2.859134e-03 1.328170e-05 1.953713e-04 1.006489e-06 1.885244e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
7.300000e+02 2.339914e-03 6.578379e-05 2.291717e-05 4.669999e-01 0.000000e+00 3.120130e-08 1.628446e-06 0.000000e+00 0.000000e+00 3.770695e-15 4.977082e-15 9.915476e-15 1.232270e-15 5.687149e-15 2.513280e-16 6.190638e-15 1.448021e-16 5.050932e-16 4.339874e-16 1.621069e-18 2.204029e-16 1.656530e-16 6.310937e-17 4.609563e-17 4.427649e-17 1.031287e-16 3.056890e-17 2.015970e-17 1.915848e-18 5.486037e-20 1.784475e-03 4.645456e-01 1.748196e-01 2.213039e-02 1.198486e-03 7.876117e-06 2.566099e-04 1.157910e-06 2.043677e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.095000e+03 2.893745e-03 6.312521e-05 3.650114e-05 8.585163e-01 0.000000e+00 2.961563e-08 1.763485e-06 0.000000e+00 0.000000e+00 3.564550e-15 4.693126e-15 6.218933e-15 1.332523e-15 5.476771e-15 1.246938e-16 5.772940e-15 1.198834e-16 5.858547e-16 4.249958e-16 1.333687e-18 2.358407e-16 1.537893e-16 5.575666e-17 4.498858e-17 4.820501e-17 1.051416e-16 2.957156e-17 2.090788e-17 1.938833e-18 5.291675e-20 2.539850e-03 3.322639e-01 2.109673e-01 2.488242e-02 0.000000e+00 5.564229e-06 1.745523e-04 1.329074e-06 1.461599e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.460000e+03 2.805418e-03 4.745443e-05 5.613698e-05 1.071744e+00 0.000000e+00 3.713661e-08 2.236690e-06 0.000000e+00 0.000000e+00 3.487601e-15 4.679281e-15 4.022780e-15 1.526488e-15 5.619561e-15 3.923311e-17 5.618613e-15 1.042354e-16 6.838001e-16 4.297223e-16 6.308493e-19 2.606243e-16 1.295898e-16 4.006693e-17 4.301369e-17 5.892880e-17 1.123874e-16 2.957365e-17 2.415733e-17 7.479922e-18 5.291423e-20 2.975035e-03 2.588596e-01 2.862328e-01 3.193215e-02 0.000000e+00 4.831726e-06 1.574313e-04 1.525655e-06 1.184972e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.825000e+03 2.727342e-03 3.662930e-05 1.137875e-04 1.357168e+00 0.000000e+00 4.286746e-08 2.632680e-06 0.000000e+00 0.000000e+00 3.080847e-15 4.309126e-15 3.572069e-15 1.625887e-15 5.381257e-15 4.698621e-17 5.422440e-15 9.254283e-17 7.472306e-16 4.238847e-16 7.864373e-19 2.739699e-16 1.784105e-16 4.263501e-17 4.529963e-17 5.470619e-17 1.168908e-16 2.888135e-17 2.204025e-17 2.503808e-18 5.249387e-20 3.111455e-03 2.384915e-01 3.914692e-01 3.715983e-02 0.000000e+00 4.847898e-06 1.486925e-04 1.680407e-06 1.025455e-04 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.190000e+03 4.801530e-03 2.793446e-05 0.000000e+00 1.775106e+00 0.000000e+00 5.205864e-08 2.768648e-06 0.000000e+00 0.000000e+00 2.578779e-15 3.871801e-15 3.388478e-15 1.708765e-15 5.107346e-15 4.199931e-17 5.316843e-15 7.946327e-17 8.000227e-16 4.193618e-16 7.552614e-19 2.860659e-16 1.689495e-16 4.032833e-17 4.377376e-17 5.378686e-17 1.200277e-16 2.831430e-17 2.111153e-17 1.449854e-18 5.251584e-20 6.088844e-03 2.447521e-01 0.000000e+00 3.828502e-02 0.000000e+00 5.675422e-06 1.396190e-04 1.784555e-06 8.870216e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.555000e+03 3.583191e-03 2.629812e-05 0.000000e+00 1.884182e+00 0.000000e+00 8.026666e-08 3.100992e-06 0.000000e+00 0.000000e+00 1.945694e-15 3.250185e-15 2.975775e-15 1.694076e-15 4.603859e-15 3.240725e-17 5.115652e-15 6.105022e-17 8.126757e-16 4.034858e-16 6.221538e-19 2.853068e-16 1.753481e-16 4.131728e-17 4.931948e-17 5.909218e-17 1.184494e-16 2.699841e-17 2.284520e-17 1.527661e-18 5.769621e-20 4.889459e-03 2.574440e-01 0.000000e+00 4.439901e-02 0.000000e+00 6.894745e-06 1.335596e-04 1.970593e-06 7.934798e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.920000e+03 2.975349e-03 2.447782e-05 0.000000e+00 2.088608e+00 0.000000e+00 1.047271e-07 3.423260e-06 0.000000e+00 0.000000e+00 1.377797e-15 2.707765e-15 2.447578e-15 1.717635e-15 4.230574e-15 3.479574e-17 4.979304e-15 4.343196e-17 8.383272e-16 3.889112e-16 7.058878e-19 2.774618e-16 2.222532e-16 4.265176e-17 5.134384e-17 5.654839e-17 1.176143e-16 2.580166e-17 2.098773e-17 1.166398e-18 5.748478e-20 4.061651e-03 2.582681e-01 0.000000e+00 4.963986e-02 0.000000e+00 8.796370e-06 1.271817e-04 2.171855e-06 7.028717e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
3.285000e+03 2.484475e-03 2.254163e-05 0.000000e+00 2.265287e+00 0.000000e+00 1.366007e-07 3.390438e-06 0.000000e+00 0.000000e+00 9.446458e-16 2.323126e-15 1.877098e-15 1.847680e-15 4.119798e-15 3.089408e-17 5.041407e-15 2.942836e-17 9.104520e-16 3.856938e-16 6.394880e-19 2.789716e-16 1.884346e-16 4.009363e-17 4.975897e-17 5.635428e-17 1.212983e-16 2.537955e-17 2.007304e-17 1.178707e-18 5.463838e-20 3.602278e-03 2.574434e-01 0.000000e+00 5.400578e-02 0.000000e+00 1.107764e-05 1.176795e-04 2.398970e-06 6.385501e-05 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
