Time  FPS FVS
0.000000e+000 1321.030088 6593.245879
3.000000e+001 1320.512398 3620.496036
6.000000e+001 1319.823570 7350.641859
9.000000e+001 1318.335563 5724.655051
1.200000e+002 1316.811905 4770.688588
1.500000e+002 1315.317591 4147.313375
1.800000e+002 1034.091344 3707.457539
2.100000e+002 988.318466 3382.649963
2.400000e+002 988.075450 3122.391685
2.700000e+002 987.718272 2910.797358
3.000000e+002 987.260577 2728.012885
3.300000e+002 986.706838 2571.987206
3.600000e+002 986.077679 2430.136867
3.650000e+002 985.966114 2407.116852
3.900000e+002 985.382540 1921.027953
4.200000e+002 984.704261 2674.174691
4.500000e+002 984.056957 2514.747012
4.800000e+002 983.380781 2379.425453
5.100000e+002 982.742513 2264.788270
5.400000e+002 969.774049 2168.654478
5.700000e+002 875.366000 2086.002345
6.000000e+002 875.533197 2014.960299
6.300000e+002 875.572948 1954.354684
6.600000e+002 875.534944 1899.197935
6.900000e+002 875.421558 1847.999231
7.200000e+002 875.243534 1799.009414
7.300000e+002 875.168906 1781.803461
7.500000e+002 874.997787 1482.962246
7.800000e+002 874.777185 1744.423432
8.100000e+002 874.670306 1684.486135
8.400000e+002 874.557612 1633.668502
8.700000e+002 874.510306 1591.396405
9.000000e+002 868.204791 1553.380139
9.300000e+002 723.252612 1518.911330
9.600000e+002 723.839658 1487.638325
9.900000e+002 724.347644 1456.937767
1.020000e+003 724.787752 1428.685541
1.050000e+003 725.164513 1403.322571
1.080000e+003 725.480226 1378.044575
1.094500e+003 725.617775 1365.386365
